 Full    lambda(A)   nu' nu"  Trans    
  583   8195.645   5   1  P1f(8.5) 
  584   8241.457   5   1  P2f(8.5) 
  585   8241.990   5   1  P2e(8.5) 
  586   8247.340   5   1  P1e(9.5) 
  587   8248.288   5   1  P1f(9.5) 
  588   8278.267   6   2  R1f(4.5) 
  589   8278.330   6   2  R1e(4.5) 
  590   8278.570   6   2  R1f(5.5) 
  591   8278.607   6   2  R1e(5.5) 
  592   8279.940   6   2  R2e(4.5) 
  593   8280.037   6   2  R2f(4.5) 
  594   8280.988   6   2  R2e(3.5) 
  595   8281.073   6   2  R2f(3.5) 
  596   8281.645   6   2  R1f(3.5) 
  597   8281.719   6   2  R1e(3.5) 
  598   8282.662   6   2  R1e(6.5) 
  599   8282.665   6   2  R1f(6.5) 

  600   8283.122   6   2  R2e(5.5) 
  601   8283.217   6   2  R2f(5.5) 
  602   8286.369   6   2  R2e(2.5) 
  603   8286.427   6   2  R2f(2.5) 
  604   8288.568   6   2  R1f(2.5) 
  605   8288.637   6   2  R1e(2.5) 
  606   8290.479   6   2  R2e(6.5) 
  607   8290.558   6   2  R2f(6.5) 
  608   8290.585   6   2  R1e(7.5) 
  609   8290.644   6   2  R1f(7.5) 
  610   8296.232   6   2  R2e(1.5) 
  611   8296.248   6   2  R2f(1.5) 
  612   8298.809   5   1  P2f(9.5) 
  613   8298.872   6   2  R1f(1.5) 
  614   8298.921   6   2  R1e(1.5) 
  615   8299.471   5   1  P2e(9.5) 
  616   8301.995   6   2  R2e(7.5) 
  617   8302.045   6   2  R2f(7.5) 
  618   8302.460   6   2  R1e(8.5) 
  619   8302.587   6   2  R1f(8.5) 
  620   8304.071   5   1  P1e(10.5)
  621   8305.184   5   1  P1f(10.5)
  622   8310.703   6   2  R2f(0.5) 
  623   8310.736   6   2  R2e(0.5) 
  624   8317.685   6   2  R2e(8.5) 
  625   8317.693   6   2  R2f(8.5) 
  626   8318.365   6   2  R1e(9.5) 
  627   8318.575   6   2  R1f(9.5) 
  628   8337.544   6   2  R2f(9.5) 
